Shark,Total_Investment,Number_of_Deals,Avg_Investment
Namita,4493.4992685,121,37.136357590909086
Vineeta,3043.9545,91,33.45004945054945
Anupam,3922.3307685,108,36.31787748611111
Aman,5853.717516,143,40.93508752447552
Peyush,4072.9147525000003,103,39.54286167475728
Ritesh,2248.4844999999996,53,42.42423584905659
Amit,1284.4,36,35.67777777777778
