State,Pitch_Count,Percentage
Maharashtra,163,23.22
Delhi,94,13.39
Karnataka,70,9.97
Gujarat,57,8.12
Haryana,46,6.55
Uttar Pradesh,34,4.84
Rajasthan,32,4.56
Telangana,22,3.13
West Bengal,18,2.56
Punjab,17,2.42
Madhya Pradesh,15,2.14
Tamil Nadu,12,1.71
Bihar,8,1.14
Goa,6,0.85
Jammu & Kashmir,5,0.71
