,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7021276595744681,0.732824427480916,0.9320388349514563,0.8205128205128205,0.5592743995912111
Random Forest,0.5815602836879432,0.7156862745098039,0.7087378640776699,0.7121951219512195,0.5025549310168625
XGBoost,0.5460992907801419,0.7096774193548387,0.6407766990291263,0.673469387755102,0.49233520694941235
LightGBM,0.5460992907801419,0.7096774193548387,0.6407766990291263,0.673469387755102,0.49105774144098097
