,ask_percentage,ask_percentage,ask_percentage,Total Deal Equity,Total Deal Equity,Total Deal Equity,equity_dilution,equity_dilution,equity_dilution,equity_dilution
,mean,median,std,mean,median,std,mean,median,std,count
revenue_category,,,,,,,,,,
0,4.36,3.5,3.13,13.12,5.5,18.62,8.76,2.5,16.13,20
1,4.05,3.0,3.25,7.01,5.0,8.79,2.97,2.0,7.39,53
2,3.0,2.0,2.86,6.52,4.0,7.47,3.51,1.76,6.32,351
3,1.27,1.0,0.89,2.31,1.25,3.68,1.04,0.5,3.28,39
4,0.75,0.75,0.35,0.9,0.9,0.14,0.15,0.15,0.49,2
