,F1-Score,ROC-AUC,Accuracy
LR + Scaling + SMOTE + Calibration,0.8395061728395061,0.5694941236586613,0.723404255319149
LR + Scaling,0.7909090909090909,0.564384261624936,0.6737588652482269
Baseline,0.8205,0.5593,0.7021
LR + Scaling + SMOTE,0.6480446927374302,0.5526315789473685,0.5531914893617021
XGBoost Optimized,0.6666666666666666,0.4846704138988247,0.5390070921985816
LightGBM Optimized,0.673469387755102,0.4833929483903935,0.5460992907801419
