,accuracy,precision,recall,f1,auc,investment_count
anupam,0.7304964539007093,0.23809523809523808,0.18518518518518517,0.20833333333333334,0.5315139701104613,27.0
amit,0.9219858156028369,0.2,0.125,0.15384615384615385,0.5601503759398496,8.0
peyush,0.7872340425531915,0.09523809523809523,0.15384615384615385,0.11764705882352941,0.4561298076923077,13.0
vineeta,0.7659574468085106,0.1111111111111111,0.10526315789473684,0.10810810810810811,0.3986194995685936,19.0
namita,0.6099290780141844,0.1,0.0967741935483871,0.09836065573770492,0.436950146627566,31.0
aman,0.6453900709219859,0.07692307692307693,0.07142857142857142,0.07407407407407407,0.4835651074589128,28.0
ritesh,0.7943262411347518,0.1,0.047619047619047616,0.06451612903225806,0.5603174603174603,21.0
