,f1,roc_auc,accuracy,precision,recall
Baseline LR,0.8205,0.5593,0.7021,0.7328,0.932
Voting Ensemble,0.673469387755102,0.4933571793561574,0.5460992907801419,0.7096774193548387,0.6407766990291263
Stacking Ensemble,0.8442622950819673,0.455799693408278,0.7304964539007093,0.7304964539007093,1.0
