,Namita,Aman,Anupam,Peyush,Vineeta,Ritesh,Amit
Namita,0,45,30,27,29,14,12
Aman,45,0,44,44,32,15,9
Anupam,30,44,0,36,36,9,10
Peyush,27,44,36,0,26,5,7
Vineeta,29,32,36,26,0,10,5
Ritesh,14,15,9,5,10,0,3
Amit,12,9,10,7,5,3,0
