,accuracy,precision,recall,f1,auc,investment_count
vineeta,0.9078014184397163,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9408973252804141,19.0
anupam,0.8652482269503546,0.7,0.5185185185185185,0.5957446808510638,0.8944119558154646,27.0
ritesh,0.900709219858156,0.8888888888888888,0.38095238095238093,0.5333333333333333,0.9761904761904762,21.0
peyush,0.9078014184397163,0.5,0.5384615384615384,0.5185185185185185,0.9489182692307693,13.0
aman,0.8014184397163121,0.5,0.35714285714285715,0.4166666666666667,0.8309102402022757,28.0
namita,0.8014184397163121,0.6,0.2903225806451613,0.391304347826087,0.8410557184750733,31.0
amit,0.9290780141843972,0.3333333333333333,0.25,0.2857142857142857,0.9642857142857143,8.0
